Tissue_cell_type_name	Developmental_stage	Organ_system	Specific_tissue_name	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID
TS_Lung_vascular associated smooth muscle cell	Adult	Respiratory system	TS_Lung	vascular associated smooth muscle cell	Smooth muscle cell	CL:0000192	Lung	UBERON:0002048
TS_Lung_vein endothelial cell	Adult	Respiratory system	TS_Lung	vein endothelial cell	Endothelial cell	CL:0000115	Lung	UBERON:0002048
TS_Lymph_Node_b cell	Adult	Lymphatic system	TS_Lymph_Node	b cell	B cell	CL:0000236	Lymph node	UBERON:0000029
TS_Lymph_Node_cd141-positive myeloid dendritic cell	Adult	Lymphatic system	TS_Lymph_Node	cd141-positive myeloid dendritic cell	Dendritic cell	CL:0000451	Lymph node	UBERON:0000029
TS_Lymph_Node_cd1c-positive myeloid dendritic cell	Adult	Lymphatic system	TS_Lymph_Node	cd1c-positive myeloid dendritic cell	Dendritic cell	CL:0000451	Lymph node	UBERON:0000029
TS_Lymph_Node_cd4-positive alpha-beta t cell	Adult	Lymphatic system	TS_Lymph_Node	cd4-positive alpha-beta t cell	T cell	CL:0000084	Lymph node	UBERON:0000029
TS_Lymph_Node_cd4-positive, alpha-beta memory t cell	Adult	Lymphatic system	TS_Lymph_Node	cd4-positive, alpha-beta memory t cell	T cell	CL:0000084	Lymph node	UBERON:0000029
TS_Lymph_Node_cd8-positive alpha-beta t cell	Adult	Lymphatic system	TS_Lymph_Node	cd8-positive alpha-beta t cell	T cell	CL:0000084	Lymph node	UBERON:0000029
TS_Lymph_Node_cd8-positive, alpha-beta memory t cell	Adult	Lymphatic system	TS_Lymph_Node	cd8-positive, alpha-beta memory t cell	T cell	CL:0000084	Lymph node	UBERON:0000029
TS_Lymph_Node_classical monocyte	Adult	Lymphatic system	TS_Lymph_Node	classical monocyte	Monocyte	CL:0000576	Lymph node	UBERON:0000029
TS_Lymph_Node_endothelial cell	Adult	Lymphatic system	TS_Lymph_Node	endothelial cell	Endothelial cell	CL:0000115	Lymph node	UBERON:0000029
TS_Lymph_Node_hematopoietic stem cell	Adult	Lymphatic system	TS_Lymph_Node	hematopoietic stem cell	Hematopoietic stem cell	CL:0000037	Lymph node	UBERON:0000029
TS_Lymph_Node_innate lymphoid cell	Adult	Lymphatic system	TS_Lymph_Node	innate lymphoid cell	Innate lymphoid cell	CL:0001065	Lymph node	UBERON:0000029
TS_Lymph_Node_intermediate monocyte	Adult	Lymphatic system	TS_Lymph_Node	intermediate monocyte	Monocyte	CL:0000576	Lymph node	UBERON:0000029
TS_Lymph_Node_macrophage	Adult	Lymphatic system	TS_Lymph_Node	macrophage	Macrophage	CL:0000235	Lymph node	UBERON:0000029
TS_Lymph_Node_mast cell	Adult	Lymphatic system	TS_Lymph_Node	mast cell	Mast cell	CL:0000097	Lymph node	UBERON:0000029
TS_Lymph_Node_mature nk t cell	Adult	Lymphatic system	TS_Lymph_Node	mature nk t cell	Natural killer cell	CL:0000623	Lymph node	UBERON:0000029
TS_Lymph_Node_memory b cell	Adult	Lymphatic system	TS_Lymph_Node	memory b cell	B cell	CL:0000236	Lymph node	UBERON:0000029
TS_Lymph_Node_naive b cell	Adult	Lymphatic system	TS_Lymph_Node	naive b cell	B cell	CL:0000236	Lymph node	UBERON:0000029
TS_Lymph_Node_naive thymus-derived cd4-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Lymph_Node	naive thymus-derived cd4-positive, alpha-beta t cell	T cell	CL:0000084	Lymph node	UBERON:0000029
TS_Lymph_Node_neutrophil	Adult	Lymphatic system	TS_Lymph_Node	neutrophil	Neutrophil	CL:0000775	Lymph node	UBERON:0000029
TS_Lymph_Node_nk cell	Adult	Lymphatic system	TS_Lymph_Node	nk cell	Natural killer cell	CL:0000623	Lymph node	UBERON:0000029
TS_Lymph_Node_non-classical monocyte	Adult	Lymphatic system	TS_Lymph_Node	non-classical monocyte	Monocyte	CL:0000576	Lymph node	UBERON:0000029
TS_Lymph_Node_plasma cell	Adult	Lymphatic system	TS_Lymph_Node	plasma cell	Plasma cell	CL:0000786	Lymph node	UBERON:0000029
TS_Lymph_Node_regulatory t cell	Adult	Lymphatic system	TS_Lymph_Node	regulatory t cell	T cell	CL:0000084	Lymph node	UBERON:0000029
TS_Lymph_Node_stromal cell	Adult	Lymphatic system	TS_Lymph_Node	stromal cell	Stromal cell	CL:0000499	Lymph node	UBERON:0000029
TS_Lymph_Node_t cell	Adult	Lymphatic system	TS_Lymph_Node	t cell	T cell	CL:0000084	Lymph node	UBERON:0000029
TS_Lymph_Node_type i nk t cell	Adult	Lymphatic system	TS_Lymph_Node	type i nk t cell	Natural killer cell	CL:0000623	Lymph node	UBERON:0000029
TS_Mammary_b cell	Adult	Endocrine system	TS_Mammary	b cell	B cell	CL:0000236	Mammary gland	UBERON:0001911
TS_Mammary_basal cell	Adult	Endocrine system	TS_Mammary	basal cell	Basal cell	CL:0000646	Mammary gland	UBERON:0001911
TS_Mammary_endothelial cell of artery	Adult	Endocrine system	TS_Mammary	endothelial cell of artery	Endothelial cell	CL:0000115	Mammary gland	UBERON:0001911
TS_Mammary_endothelial cell of lymphatic vessel	Adult	Endocrine system	TS_Mammary	endothelial cell of lymphatic vessel	Endothelial cell	CL:0000115	Mammary gland	UBERON:0001911
TS_Mammary_fibroblast of breast	Adult	Endocrine system	TS_Mammary	fibroblast of breast	Fibroblast	CL:0000057	Mammary gland	UBERON:0001911
TS_Mammary_luminal epithelial cell of mammary gland	Adult	Endocrine system	TS_Mammary	luminal epithelial cell of mammary gland	Epithelial cell	CL:0000066	Mammary gland	UBERON:0001911
TS_Mammary_macrophage	Adult	Endocrine system	TS_Mammary	macrophage	Macrophage	CL:0000235	Mammary gland	UBERON:0001911
TS_Mammary_pericyte cell	Adult	Endocrine system	TS_Mammary	pericyte cell	Pericyte cell	CL:0000669	Mammary gland	UBERON:0001911
TS_Mammary_plasma cell	Adult	Endocrine system	TS_Mammary	plasma cell	Plasma cell	CL:0000786	Mammary gland	UBERON:0001911
TS_Mammary_t cell	Adult	Endocrine system	TS_Mammary	t cell	T cell	CL:0000084	Mammary gland	UBERON:0001911
TS_Mammary_vascular associated smooth muscle cell	Adult	Endocrine system	TS_Mammary	vascular associated smooth muscle cell	Smooth muscle cell	CL:0000192	Mammary gland	UBERON:0001911
TS_Mammary_vein endothelial cell	Adult	Endocrine system	TS_Mammary	vein endothelial cell	Endothelial cell	CL:0000115	Mammary gland	UBERON:0001911
TS_Muscle_capillary endothelial cell	Adult	Muscular system	TS_Muscle	capillary endothelial cell	Capillary endothelial cell	CL:0002144	Muscle organ	UBERON:0001630
TS_Muscle_cd4-positive, alpha-beta t cell	Adult	Muscular system	TS_Muscle	cd4-positive, alpha-beta t cell	T cell	CL:0000084	Muscle organ	UBERON:0001630
TS_Muscle_cd8-positive, alpha-beta t cell	Adult	Muscular system	TS_Muscle	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Muscle organ	UBERON:0001630
TS_Muscle_endothelial cell of artery	Adult	Muscular system	TS_Muscle	endothelial cell of artery	Endothelial cell	CL:0000115	Muscle organ	UBERON:0001630
TS_Muscle_endothelial cell of lymphatic vessel	Adult	Muscular system	TS_Muscle	endothelial cell of lymphatic vessel	Endothelial cell	CL:0000115	Muscle organ	UBERON:0001630
TS_Muscle_endothelial cell of vascular tree	Adult	Muscular system	TS_Muscle	endothelial cell of vascular tree	Endothelial cell	CL:0000115	Muscle organ	UBERON:0001630
TS_Muscle_fast muscle cell	Adult	Muscular system	TS_Muscle	fast muscle cell	Cell of skeletal muscle	CL:0000188	Muscle organ	UBERON:0001630
TS_Muscle_macrophage	Adult	Muscular system	TS_Muscle	macrophage	Macrophage	CL:0000235	Muscle organ	UBERON:0001630
TS_Muscle_mast cell	Adult	Muscular system	TS_Muscle	mast cell	Mast cell	CL:0000097	Muscle organ	UBERON:0001630
TS_Muscle_mature nk t cell	Adult	Muscular system	TS_Muscle	mature nk t cell	Natural killer cell	CL:0000623	Muscle organ	UBERON:0001630
TS_Muscle_mesenchymal stem cell	Adult	Muscular system	TS_Muscle	mesenchymal stem cell	Mesenchymal stem cell	CL:0000134	Muscle organ	UBERON:0001630
TS_Muscle_pericyte cell	Adult	Muscular system	TS_Muscle	pericyte cell	Pericyte cell	CL:0000669	Muscle organ	UBERON:0001630
TS_Muscle_skeletal muscle satellite stem cell	Adult	Muscular system	TS_Muscle	skeletal muscle satellite stem cell	Skeletal muscle satellite cell	CL:0000594	Muscle organ	UBERON:0001630
TS_Muscle_slow muscle cell	Adult	Muscular system	TS_Muscle	slow muscle cell	Cell of skeletal muscle	CL:0000188	Muscle organ	UBERON:0001630
TS_Muscle_smooth muscle cell	Adult	Muscular system	TS_Muscle	smooth muscle cell	Smooth muscle cell	CL:0000192	Muscle organ	UBERON:0001630
TS_Muscle organ_t cell	Adult	Muscular system	TS_Muscle	t cell	T cell	CL:0000084	Muscle organ	UBERON:0001630
TS_Muscle_tendon cell	Adult	Muscular system	TS_Muscle	tendon cell	Cell of skeletal muscle	CL:0000188	Muscle organ	UBERON:0001630
TS_Pancreas_b cell	Adult	Digestive system	TS_Pancreas	b cell	B cell	CL:0000236	Pancreas	UBERON:0001264
TS_Pancreas_endothelial cell	Adult	Digestive system	TS_Pancreas	endothelial cell	Endothelial cell	CL:0000115	Pancreas	UBERON:0001264
TS_Pancreas_fibroblast	Adult	Digestive system	TS_Pancreas	fibroblast	Fibroblast	CL:0000057	Pancreas	UBERON:0001264
TS_Pancreas_mast cell	Adult	Digestive system	TS_Pancreas	mast cell	Mast cell	CL:0000097	Pancreas	UBERON:0001264
TS_Pancreas_myeloid cell	Adult	Digestive system	TS_Pancreas	myeloid cell	Myeloid cell	CL:0000763	Pancreas	UBERON:0001264
TS_Pancreas_nk cell	Adult	Digestive system	TS_Pancreas	nk cell	Natural killer cell	CL:0000623	Pancreas	UBERON:0001264
TS_Pancreas_pancreatic acinar cell	Adult	Digestive system	TS_Pancreas	pancreatic acinar cell	Acinar cell	CL:0000622	Pancreas	UBERON:0001264
TS_Pancreas_pancreatic alpha cell	Adult	Digestive system	TS_Pancreas	pancreatic alpha cell	Pancreatic A cell	CL:0000171	Pancreas	UBERON:0001264
TS_Pancreas_pancreatic beta cell	Adult	Digestive system	TS_Pancreas	pancreatic beta cell	Type B pancreatic cell	CL:0000169	Pancreas	UBERON:0001264
TS_Pancreas_pancreatic ductal cell	Adult	Digestive system	TS_Pancreas	pancreatic ductal cell	Pancreatic ductal cell	CL:0002079	Pancreas	UBERON:0001264
TS_Pancreas_pancreatic pp cell	Adult	Digestive system	TS_Pancreas	pancreatic pp cell	Pancreatic PP cell	CL:0002275	Pancreas	UBERON:0001264
TS_Pancreas_pancreatic stellate cell	Adult	Digestive system	TS_Pancreas	pancreatic stellate cell	Pancreatic stellate cell	CL:0002410	Pancreas	UBERON:0001264
TS_Pancreas_plasma cell	Adult	Digestive system	TS_Pancreas	plasma cell	Plasma cell	CL:0000786	Pancreas	UBERON:0001264
TS_Pancreas_t cell	Adult	Digestive system	TS_Pancreas	t cell	T cell	CL:0000084	Pancreas	UBERON:0001264
TS_Prostate_basal cell of prostate epithelium	Adult	Reproductive system	TS_Prostate	basal cell of prostate epithelium	Basal cell	CL:0000646	Prostate gland	UBERON:0002367
TS_Prostate_cd8-positive, alpha-beta t cell	Adult	Reproductive system	TS_Prostate	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Prostate gland	UBERON:0002367
TS_Prostate_cd8b-positive nk t cell	Adult	Reproductive system	TS_Prostate	cd8b-positive nk t cell	Natural killer cell	CL:0000623	Prostate gland	UBERON:0002367
TS_Prostate_club cell of prostate epithelium	Adult	Reproductive system	TS_Prostate	club cell of prostate epithelium	Club cell	CL:0000158	Prostate gland	UBERON:0002367
TS_Prostate_endothelial cell	Adult	Reproductive system	TS_Prostate	endothelial cell	Endothelial cell	CL:0000115	Prostate gland	UBERON:0002367
TS_Prostate_epithelial cell	Adult	Reproductive system	TS_Prostate	epithelial cell	Epithelial cell	CL:0000066	Prostate gland	UBERON:0002367
TS_Prostate_erythroid progenitor	Adult	Reproductive system	TS_Prostate	erythroid progenitor	Erythroid progenitor cell	CL:0000038	Prostate gland	UBERON:0002367
TS_Prostate_fibroblast	Adult	Reproductive system	TS_Prostate	fibroblast	Fibroblast	CL:0000057	Prostate gland	UBERON:0002367
TS_Prostate_hillock-club cell of prostate epithelium	Adult	Reproductive system	TS_Prostate	hillock-club cell of prostate epithelium	Club cell	CL:0000158	Prostate gland	UBERON:0002367
TS_Prostate_hillock cell of prostate epithelium	Adult	Reproductive system	TS_Prostate	hillock cell of prostate epithelium	Epithelial cell	CL:0000066	Prostate gland	UBERON:0002367
TS_Prostate_luminal cell of prostate epithelium	Adult	Reproductive system	TS_Prostate	luminal cell of prostate epithelium	Luminal cell of prostate epithelium	CL:0002340	Prostate gland	UBERON:0002367
TS_Prostate_macrophage	Adult	Reproductive system	TS_Prostate	macrophage	Macrophage	CL:0000235	Prostate gland	UBERON:0002367
TS_Prostate_monocyte	Adult	Reproductive system	TS_Prostate	monocyte	Monocyte	CL:0000576	Prostate gland	UBERON:0002367
TS_Prostate_myeloid cell	Adult	Reproductive system	TS_Prostate	myeloid cell	Myeloid cell	CL:0000763	Prostate gland	UBERON:0002367
TS_Prostate_nkt cell	Adult	Reproductive system	TS_Prostate	nkt cell	Natural killer cell	CL:0000623	Prostate gland	UBERON:0002367
TS_Prostate_smooth muscle cell	Adult	Reproductive system	TS_Prostate	smooth muscle cell	Smooth muscle cell	CL:0000192	Prostate gland	UBERON:0002367
TS_Prostate_stromal cell	Adult	Reproductive system	TS_Prostate	stromal cell	Stromal cell	CL:0000499	Prostate gland	UBERON:0002367
TS_Prostate_t cell	Adult	Reproductive system	TS_Prostate	t cell	T cell	CL:0000084	Prostate gland	UBERON:0002367
TS_Salivary_Gland_acinar cell of salivary gland	Adult	Digestive system	TS_Salivary_Gland	acinar cell of salivary gland	Acinar cell	CL:0000622	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_adventitial cell	Adult	Digestive system	TS_Salivary_Gland	adventitial cell	Adventitial cell	CL:0002503	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_b cell	Adult	Digestive system	TS_Salivary_Gland	b cell	B cell	CL:0000236	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_basal cell	Adult	Digestive system	TS_Salivary_Gland	basal cell	Basal cell	CL:0000646	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_cd4-positive helper t cell	Adult	Digestive system	TS_Salivary_Gland	cd4-positive helper t cell	T cell	CL:0000084	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_cd4-positive, alpha-beta t cell	Adult	Digestive system	TS_Salivary_Gland	cd4-positive, alpha-beta t cell	T cell	CL:0000084	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_cd8-positive, alpha-beta t cell	Adult	Digestive system	TS_Salivary_Gland	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_duct epithelial cell	Adult	Digestive system	TS_Salivary_Gland	duct epithelial cell	Epithelial cell	CL:0000066	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_endothelial cell	Adult	Digestive system	TS_Salivary_Gland	endothelial cell	Endothelial cell	CL:0000115	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_endothelial cell of lymphatic vessel	Adult	Digestive system	TS_Salivary_Gland	endothelial cell of lymphatic vessel	Endothelial cell	CL:0000115	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_fibroblast	Adult	Digestive system	TS_Salivary_Gland	fibroblast	Fibroblast	CL:0000057	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_ionocyte	Adult	Digestive system	TS_Salivary_Gland	ionocyte	Ionocyte	CL:0005006	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_macrophage	Adult	Digestive system	TS_Salivary_Gland	macrophage	Macrophage	CL:0000235	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_memory b cell	Adult	Digestive system	TS_Salivary_Gland	memory b cell	B cell	CL:0000236	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_monocyte	Adult	Digestive system	TS_Salivary_Gland	monocyte	Monocyte	CL:0000576	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_myoepithelial cell	Adult	Digestive system	TS_Salivary_Gland	myoepithelial cell	Epithelial cell	CL:0000066	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_naive b cell	Adult	Digestive system	TS_Salivary_Gland	naive b cell	B cell	CL:0000236	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_neutrophil	Adult	Digestive system	TS_Salivary_Gland	neutrophil	Neutrophil	CL:0000775	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_nk cell	Adult	Digestive system	TS_Salivary_Gland	nk cell	Natural killer cell	CL:0000623	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_pericyte cell	Adult	Digestive system	TS_Salivary_Gland	pericyte cell	Pericyte cell	CL:0000669	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_plasma cell	Adult	Digestive system	TS_Salivary_Gland	plasma cell	Plasma cell	CL:0000786	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_salivary gland cell	Adult	Digestive system	TS_Salivary_Gland	salivary gland cell	Salivary gland cell	CL:0009005	Saliva-secreting gland	UBERON:0001044
TS_Salivary_Gland_t cell	Adult	Digestive system	TS_Salivary_Gland	t cell	T cell	CL:0000084	Saliva-secreting gland	UBERON:0001044
TS_Skin_cd1c-positive myeloid dendritic cell	Adult	Integumentary system	TS_Skin	cd1c-positive myeloid dendritic cell	Myeloid cell	CL:0000763	Skin of body	UBERON:0002097
TS_Skin_cd4-positive helper t cells	Adult	Integumentary system	TS_Skin	cd4-positive helper t cells	T cell	CL:0000084	Skin of body	UBERON:0002097
TS_Skin_cd4-positive, alpha-beta memory t cell	Adult	Integumentary system	TS_Skin	cd4-positive, alpha-beta memory t cell	T cell	CL:0000084	Skin of body	UBERON:0002097
TS_Skin_cd8-positive, alpha-beta cytotoxic t cell	Adult	Integumentary system	TS_Skin	cd8-positive, alpha-beta cytotoxic t cell	T cell	CL:0000084	Skin of body	UBERON:0002097
TS_Skin_cd8-positive, alpha-beta memory t cell	Adult	Integumentary system	TS_Skin	cd8-positive, alpha-beta memory t cell	T cell	CL:0000084	Skin of body	UBERON:0002097
TS_Skin_endothelial cell	Adult	Integumentary system	TS_Skin	endothelial cell	Endothelial cell	CL:0000115	Skin of body	UBERON:0002097
TS_Skin_epithelial cell	Adult	Integumentary system	TS_Skin	epithelial cell	Epithelial cell	CL:0000066	Skin of body	UBERON:0002097
TS_Skin_langerhans cell	Adult	Integumentary system	TS_Skin	langerhans cell	Langerhans cell	CL:0000453	Skin of body	UBERON:0002097
TS_Skin_macrophage	Adult	Integumentary system	TS_Skin	macrophage	Macrophage	CL:0000235	Skin of body	UBERON:0002097
TS_Skin_mast cell	Adult	Integumentary system	TS_Skin	mast cell	Mast cell	CL:0000097	Skin of body	UBERON:0002097
TS_Skin_melanocyte	Adult	Integumentary system	TS_Skin	melanocyte	Melanocyte	CL:0000148	Skin of body	UBERON:0002097
TS_Skin_muscle cell	Adult	Integumentary system	TS_Skin	muscle cell	Cell of skeletal muscle	CL:0000188	Skin of body	UBERON:0002097
TS_Skin_naive thymus-derived cd4-positive, alpha-beta t cell	Adult	Integumentary system	TS_Skin	naive thymus-derived cd4-positive, alpha-beta t cell	T cell	CL:0000084	Skin of body	UBERON:0002097
TS_Skin_naive thymus-derived cd8-positive, alpha-beta t cell	Adult	Integumentary system	TS_Skin	naive thymus-derived cd8-positive, alpha-beta t cell	T cell	CL:0000084	Skin of body	UBERON:0002097
TS_Skin_nk cell	Adult	Integumentary system	TS_Skin	nk cell	Natural killer cell	CL:0000623	Skin of body	UBERON:0002097
TS_Skin_nkt cell	Adult	Integumentary system	TS_Skin	nkt cell	Natural killer cell	CL:0000623	Skin of body	UBERON:0002097
TS_Skin_regulatory t cell	Adult	Integumentary system	TS_Skin	regulatory t cell	T cell	CL:0000084	Skin of body	UBERON:0002097
TS_Skin_stromal cell	Adult	Integumentary system	TS_Skin	stromal cell	Stromal cell	CL:0000499	Skin of body	UBERON:0002097
TS_Skin_t cell	Adult	Integumentary system	TS_Skin	t cell	T cell	CL:0000084	Skin of body	UBERON:0002097
TS_Small_Intestine_b cell	Adult	Digestive system	TS_Small_Intestine	b cell	B cell	CL:0000236	Small intestine	UBERON:0002108
TS_Small_Intestine_cd4-positive, alpha-beta t cell	Adult	Digestive system	TS_Small_Intestine	cd4-positive, alpha-beta t cell	T cell	CL:0000084	Small intestine	UBERON:0002108
TS_Small_Intestine_cd8-positive, alpha-beta t cell	Adult	Digestive system	TS_Small_Intestine	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Small intestine	UBERON:0002108
TS_Small_Intestine_duodenum glandular cell	Adult	Digestive system	TS_Small_Intestine	duodenum glandular cell	Duodenum glandular cell	CL:1001589	Small intestine	UBERON:0002108
TS_Small_Intestine_enterocyte of epithelium of small intestine	Adult	Digestive system	TS_Small_Intestine	enterocyte of epithelium of small intestine	Enterocyte	CL:0000584	Small intestine	UBERON:0002108
TS_Small_Intestine_fibroblast	Adult	Digestive system	TS_Small_Intestine	fibroblast	Fibroblast	CL:0000057	Small intestine	UBERON:0002108
TS_Small_Intestine_goblet cell	Adult	Digestive system	TS_Small_Intestine	goblet cell	Goblet cell	CL:0000160	Small intestine	UBERON:0002108
TS_Small_Intestine_gut endothelial cell	Adult	Digestive system	TS_Small_Intestine	gut endothelial cell	Endothelial cell	CL:0000115	Small intestine	UBERON:0002108
TS_Small_Intestine_immature enterocyte	Adult	Digestive system	TS_Small_Intestine	immature enterocyte	Enterocyte	CL:0000584	Small intestine	UBERON:0002108
TS_Small_Intestine_intestinal crypt stem cell	Adult	Digestive system	TS_Small_Intestine	intestinal crypt stem cell	Intestinal crypt stem cell	CL:0002250	Small intestine	UBERON:0002108
TS_Small_Intestine_intestinal crypt stem cell of small intestine	Adult	Digestive system	TS_Small_Intestine	intestinal crypt stem cell of small intestine	Intestinal crypt stem cell	CL:0002250	Small intestine	UBERON:0002108
TS_Small_Intestine_intestinal enteroendocrine cell	Adult	Digestive system	TS_Small_Intestine	intestinal enteroendocrine cell	Endocrine cell	CL:0000163	Small intestine	UBERON:0002108
TS_Small_Intestine_intestinal tuft cell	Adult	Digestive system	TS_Small_Intestine	intestinal tuft cell	Intestinal tuft cell	CL:0019032	Small intestine	UBERON:0002108
TS_Small_Intestine_mast cell	Adult	Digestive system	TS_Small_Intestine	mast cell	Mast cell	CL:0000097	Small intestine	UBERON:0002108
TS_Small_Intestine_mature enterocyte	Adult	Digestive system	TS_Small_Intestine	mature enterocyte	Enterocyte	CL:0000584	Small intestine	UBERON:0002108
TS_Small_Intestine_monocyte	Adult	Digestive system	TS_Small_Intestine	monocyte	Monocyte	CL:0000576	Small intestine	UBERON:0002108
TS_Small_Intestine_neutrophil	Adult	Digestive system	TS_Small_Intestine	neutrophil	Neutrophil	CL:0000775	Small intestine	UBERON:0002108
TS_Small_Intestine_paneth cell of epithelium of small intestine	Adult	Digestive system	TS_Small_Intestine	paneth cell of epithelium of small intestine	Paneth cell	CL:0000510	Small intestine	UBERON:0002108
TS_Small_Intestine_plasma cell	Adult	Digestive system	TS_Small_Intestine	plasma cell	Plasma cell	CL:0000786	Small intestine	UBERON:0002108
TS_Small_Intestine_small intestine goblet cell	Adult	Digestive system	TS_Small_Intestine	small intestine goblet cell	Goblet cell	CL:0000160	Small intestine	UBERON:0002108
TS_Small_Intestine_transit amplifying cell of small intestine	Adult	Digestive system	TS_Small_Intestine	transit amplifying cell of small intestine	Transit amplifying cell	CL:0009010	Small intestine	UBERON:0002108
TS_Spleen_cd141-positive myeloid dendritic cell	Adult	Lymphatic system	TS_Spleen	cd141-positive myeloid dendritic cell	Dendritic cell	CL:0000451	Spleen	UBERON:0002106
TS_Spleen_cd1c-positive myeloid dendritic cell	Adult	Lymphatic system	TS_Spleen	cd1c-positive myeloid dendritic cell	Dendritic cell	CL:0000451	Spleen	UBERON:0002106
TS_Spleen_cd4-positive, alpha-beta memory t cell	Adult	Lymphatic system	TS_Spleen	cd4-positive, alpha-beta memory t cell	T cell	CL:0000084	Spleen	UBERON:0002106
TS_Spleen_cd8-positive, alpha-beta memory t cell	Adult	Lymphatic system	TS_Spleen	cd8-positive, alpha-beta memory t cell	T cell	CL:0000084	Spleen	UBERON:0002106
TS_Spleen_cd8-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Spleen	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Spleen	UBERON:0002106
TS_Spleen_classical monocyte	Adult	Lymphatic system	TS_Spleen	classical monocyte	Monocyte	CL:0000576	Spleen	UBERON:0002106
TS_Spleen_endothelial cell	Adult	Lymphatic system	TS_Spleen	endothelial cell	Endothelial cell	CL:0000115	Spleen	UBERON:0002106
TS_Spleen_erythrocyte	Adult	Lymphatic system	TS_Spleen	erythrocyte	Erythrocyte	CL:0000232	Spleen	UBERON:0002106
TS_Spleen_hematopoietic stem cell	Adult	Lymphatic system	TS_Spleen	hematopoietic stem cell	Hematopoietic stem cell	CL:0000037	Spleen	UBERON:0002106
TS_Spleen_innate lymphoid cell	Adult	Lymphatic system	TS_Spleen	innate lymphoid cell	Innate lymphoid cell	CL:0001065	Spleen	UBERON:0002106
TS_Spleen_intermediate monocyte	Adult	Lymphatic system	TS_Spleen	intermediate monocyte	Monocyte	CL:0000576	Spleen	UBERON:0002106
TS_Spleen_macrophage	Adult	Lymphatic system	TS_Spleen	macrophage	Macrophage	CL:0000235	Spleen	UBERON:0002106
TS_Spleen_mature nk t cell	Adult	Lymphatic system	TS_Spleen	mature nk t cell	T cell	CL:0000084	Spleen	UBERON:0002106
TS_Spleen_memory b cell	Adult	Lymphatic system	TS_Spleen	memory b cell	B cell	CL:0000236	Spleen	UBERON:0002106
TS_Spleen_naive b cell	Adult	Lymphatic system	TS_Spleen	naive b cell	B cell	CL:0000236	Spleen	UBERON:0002106
TS_Spleen_naive thymus-derived cd4-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Spleen	naive thymus-derived cd4-positive, alpha-beta t cell	T cell	CL:0000084	Spleen	UBERON:0002106
TS_Spleen_naive thymus-derived cd8-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Spleen	naive thymus-derived cd8-positive, alpha-beta t cell	T cell	CL:0000084	Spleen	UBERON:0002106
TS_Spleen_neutrophil	Adult	Lymphatic system	TS_Spleen	neutrophil	Neutrophil	CL:0000775	Spleen	UBERON:0002106
TS_Spleen_nk cell	Adult	Lymphatic system	TS_Spleen	nk cell	Natural killer cell	CL:0000623	Spleen	UBERON:0002106
TS_Spleen_plasma cell	Adult	Lymphatic system	TS_Spleen	plasma cell	Plasma cell	CL:0000786	Spleen	UBERON:0002106
TS_Spleen_plasmacytoid dendritic cell	Adult	Lymphatic system	TS_Spleen	plasmacytoid dendritic cell	Plasmacytoid dendritic cell	CL:0000784	Spleen	UBERON:0002106
TS_Spleen_regulatory t cell	Adult	Lymphatic system	TS_Spleen	regulatory t cell	T cell	CL:0000084	Spleen	UBERON:0002106
TS_Spleen_type i nk t cell	Adult	Lymphatic system	TS_Spleen	type i nk t cell	Natural killer cell	CL:0000623	Spleen	UBERON:0002106
TS_Thymus_b cell	Adult	Lymphatic system	TS_Thymus	b cell	B cell	CL:0000236	Thymus	UBERON:0002370
