Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p
FetalKidney_Smooth muscle cell	Fetal	Urinary system	FetalKidney	Smooth muscle cell	Smooth muscle cell	CL:0000192	Kidney	UBERON:0002113	0.945227212909855	0.793985216189787	0.877490774907749	0.948492955995479	0.0229658900611947
AdultStomach_T cell	Adult	Digestive system	AdultStomach	T cell	T cell	CL:0000084	Stomach	UBERON:0000945	0.949237511900259	0.793533271176691	0.878966789667897	0.948772482095279	0.0228379199404808
VentoTormo_2018_decidua_CD16-negative natural killer cell (NK CD16-)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	CD16-negative natural killer cell (NK CD16-)	Natural killer cell	CL:0000623	Decidua	UBERON:0002450	0.941811507716464	0.799696157718914	0.873431734317343	0.949128664065365	0.0226749105379196
Fetal_HCA_Stomach_Erythroblasts	Fetal	Digestive system	Fetal_HCA_Stomach	Erythroblasts	Erythroblast	CL:0000765	Stomach	UBERON:0000945	0.966512126288	0.781536185374496	0.894464944649446	0.949335380858956	0.022580333067919
TS_Eye_b cell	Adult	Sensory system	TS_Eye	b cell	B cell	CL:0000236	Eye	UBERON:0000970	0.941640110045299	0.804133436029315	0.870110701107011	0.94956007576473	0.0224775535728135
TS_Eye_eye photoreceptor cell	Adult	Sensory system	TS_Eye	eye photoreceptor cell	Photoreceptor cell	CL:0000210	Eye	UBERON:0000970	0.941640110045299	0.804215607849878	0.870110701107011	0.949585606034491	0.0224658771065101
AdultThyroid_B cell (Plasmocyte)	Adult	Endocrine system	AdultThyroid	B cell (Plasmocyte)	B cell	CL:0000236	Thyroid gland	UBERON:0002046	0.959977941500669	0.787534728275593	0.88929889298893	0.949798549438897	0.0223684980211765
AdultTransverseColon_B cell	Adult	Digestive system	AdultTransverseColon	B cell	B cell	CL:0000236	Transverse colon	UBERON:0001157	0.952821555417935	0.793820872548661	0.882656826568266	0.949911614782613	0.0223168020773918
AdultLiver_Dendritic cell	Adult	Digestive system	AdultLiver	Dendritic cell	Dendritic cell	CL:0000451	Liver	UBERON:0002107	0.972612810253822	0.78055012352774	0.897785977859779	0.949945594712089	0.0223012669142283
VentoTormo_2018_decidua_CD16-positive natural killer cell (NK CD16+)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	CD16-positive natural killer cell (NK CD16+)	Natural killer cell	CL:0000623	Decidua	UBERON:0002450	0.941811507716464	0.802489999618056	0.873431734317343	0.950000079891925	0.0222763581883936
